iter	Passed	Remaining
0	155	155399
1	187	93326
2	214	71299
3	237	59036
4	261	51975
5	283	46970
6	310	43982
7	336	41770
8	363	40008
9	391	38720
10	419	37702
11	447	36809
12	474	36056
13	503	35479
14	530	34817
15	557	34266
16	585	33850
17	611	33348
18	635	32823
19	658	32283
20	681	31754
21	704	31316
22	727	30906
23	750	30512
24	773	30161
25	799	29953
26	822	29626
27	845	29352
28	870	29135
29	893	28895
30	917	28677
31	940	28436
32	966	28311
33	989	28118
34	1013	27936
35	1035	27741
36	1059	27565
37	1084	27445
38	1108	27311
39	1132	27170
40	1155	27026
41	1180	26917
42	1202	26767
43	1225	26626
44	1249	26514
45	1272	26394
46	1295	26270
47	1318	26152
48	1342	26059
49	1368	25995
50	1392	25913
51	1415	25803
52	1438	25708
53	1474	25835
54	1498	25741
55	1520	25637
56	1544	25555
57	1569	25497
58	1595	25445
59	1621	25404
60	1645	25328
61	1667	25231
62	1694	25204
63	1720	25167
64	1745	25110
65	1782	25218
66	1807	25167
67	1834	25137
68	1861	25118
69	1887	25077
70	1911	25015
71	1940	25008
72	1966	24974
73	1993	24942
74	2020	24921
75	2047	24896
76	2075	24880
77	2100	24829
78	2131	24844
79	2159	24831
80	2186	24811
81	2228	24949
82	2255	24916
83	2279	24859
84	2306	24831
85	2331	24783
86	2357	24735
87	2386	24730
88	2414	24714
89	2441	24685
90	2466	24638
91	2491	24590
92	2519	24568
93	2544	24522
94	2568	24470
95	2593	24426
96	2617	24368
97	2643	24334
98	2673	24329
99	2699	24295
100	2726	24269
101	2754	24246
102	2781	24227
103	2805	24167
104	2831	24134
105	2856	24093
106	2881	24052
107	2910	24035
108	2937	24009
109	2983	24143
110	3014	24141
111	3044	24136
112	3070	24103
113	3096	24062
114	3119	24008
115	3147	23989
116	3173	23953
117	3201	23929
118	3229	23911
119	3254	23869
120	3284	23860
121	3311	23828
122	3340	23819
123	3367	23793
124	3394	23761
125	3419	23718
126	3443	23670
127	3465	23611
128	3490	23569
129	3514	23518
130	3536	23461
131	3560	23410
132	3585	23371
133	3607	23315
134	3630	23261
135	3655	23226
136	3679	23180
137	3703	23130
138	3726	23080
139	3747	23020
140	3769	22961
141	3791	22908
142	3814	22858
143	3837	22809
144	3861	22771
145	3884	22721
146	3907	22675
147	3929	22623
148	3952	22572
149	3974	22523
150	3999	22486
151	4022	22439
152	4045	22395
153	4067	22346
154	4089	22294
155	4112	22247
156	4135	22204
157	4160	22169
158	4183	22127
159	4206	22082
160	4227	22027
161	4264	22060
162	4288	22021
163	4310	21974
164	4335	21940
165	4357	21894
166	4381	21853
167	4404	21812
168	4426	21765
169	4448	21718
170	4470	21675
171	4492	21625
172	4515	21585
173	4544	21572
174	4566	21525
175	4588	21483
176	4611	21441
177	4635	21406
178	4659	21372
179	4682	21332
180	4705	21292
181	4726	21244
182	4748	21198
183	4769	21153
184	4793	21117
185	4816	21077
186	4839	21039
187	4862	21002
188	4886	20966
189	4910	20932
190	4933	20896
191	4957	20860
192	4980	20826
193	5003	20788
194	5028	20759
195	5053	20728
196	5077	20697
197	5100	20659
198	5123	20623
199	5145	20582
200	5169	20548
201	5192	20514
202	5217	20482
203	5239	20443
204	5264	20417
205	5287	20381
206	5312	20352
207	5336	20318
208	5359	20283
209	5380	20242
210	5404	20208
211	5425	20167
212	5449	20134
213	5472	20098
214	5494	20060
215	5516	20023
216	5539	19989
217	5562	19953
218	5584	19916
219	5607	19882
220	5629	19843
221	5652	19809
222	5676	19778
223	5700	19746
224	5722	19711
225	5745	19676
226	5768	19644
227	5790	19607
228	5815	19580
229	5838	19547
230	5863	19518
231	5887	19490
232	5912	19462
233	5936	19431
234	5960	19401
235	5983	19370
236	6008	19342
237	6033	19316
238	6056	19284
239	6079	19253
240	6101	19217
241	6124	19183
242	6147	19150
243	6169	19115
244	6193	19084
245	6214	19046
246	6237	19016
247	6259	18980
248	6282	18948
249	6307	18921
250	6329	18888
251	6352	18857
252	6375	18822
253	6397	18789
254	6421	18760
255	6444	18728
256	6467	18696
257	6489	18663
258	6511	18628
259	6534	18597
260	6557	18567
261	6580	18536
262	6603	18505
263	6626	18475
264	6650	18444
265	6672	18412
266	6696	18383
267	6720	18356
268	6743	18324
269	6766	18295
270	6787	18259
271	6818	18250
272	6840	18217
273	6863	18185
274	6886	18156
275	6909	18125
276	6933	18097
277	6956	18066
278	6979	18036
279	7001	18004
280	7025	17976
281	7052	17955
282	7076	17929
283	7100	17901
284	7126	17878
285	7149	17847
286	7174	17824
287	7199	17798
288	7225	17775
289	7253	17757
290	7279	17737
291	7310	17725
292	7336	17702
293	7363	17683
294	7388	17656
295	7412	17629
296	7437	17604
297	7468	17593
298	7497	17578
299	7528	17565
300	7555	17546
301	7584	17529
302	7609	17505
303	7635	17480
304	7663	17462
305	7692	17446
306	7719	17425
307	7743	17398
308	7770	17376
309	7795	17351
310	7823	17333
311	7853	17318
312	7881	17299
313	7907	17276
314	7939	17264
315	7964	17240
316	7992	17220
317	8018	17196
318	8044	17174
319	8073	17156
320	8102	17137
321	8124	17106
322	8148	17079
323	8175	17057
324	8205	17041
325	8232	17020
326	8259	16999
327	8288	16981
328	8317	16964
329	8348	16949
330	8377	16931
331	8404	16910
332	8434	16894
333	8462	16874
334	8488	16850
335	8512	16822
336	8540	16801
337	8567	16780
338	8592	16754
339	8621	16735
340	8648	16714
341	8686	16712
342	8711	16687
343	8738	16663
344	8762	16635
345	8789	16613
346	8814	16587
347	8843	16568
348	8872	16549
349	8900	16529
350	8928	16507
351	8950	16477
352	8975	16450
353	8999	16422
354	9023	16395
355	9048	16367
356	9070	16337
357	9092	16305
358	9115	16276
359	9138	16246
360	9159	16213
361	9179	16178
362	9203	16150
363	9226	16120
364	9247	16088
365	9271	16060
366	9296	16033
367	9317	16001
368	9337	15967
369	9363	15943
370	9385	15912
371	9408	15883
372	9431	15854
373	9455	15825
374	9476	15794
375	9499	15764
376	9521	15734
377	9545	15707
378	9565	15674
379	9589	15645
380	9610	15613
381	9630	15580
382	9653	15551
383	9676	15522
384	9698	15493
385	9720	15462
386	9741	15430
387	9763	15399
388	9785	15369
389	9808	15341
390	9831	15312
391	9853	15283
392	9877	15256
393	9900	15227
394	9923	15198
395	9957	15187
396	9981	15160
397	10000	15126
398	10022	15095
399	10042	15063
400	10066	15036
401	10087	15005
402	10108	14974
403	10128	14941
404	10147	14908
405	10170	14879
406	10189	14846
407	10209	14814
408	10229	14782
409	10249	14749
410	10271	14720
411	10296	14694
412	10319	14666
413	10352	14653
414	10376	14626
415	10395	14593
416	10415	14561
417	10434	14528
418	10456	14498
419	10475	14466
420	10498	14438
421	10517	14405
422	10540	14377
423	10561	14347
424	10581	14316
425	10600	14283
426	10620	14252
427	10640	14219
428	10661	14190
429	10681	14159
430	10701	14128
431	10720	14095
432	10742	14066
433	10763	14037
434	10783	14006
435	10805	13977
436	10828	13951
437	10857	13931
438	10878	13902
439	10903	13876
440	10924	13847
441	10947	13820
442	10967	13790
443	10989	13761
444	11008	13730
